Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,id,Geographic Area Name
1152,894,33.4,66.6,15588,55007,1400000US48027020701,"Census Tract 207.01, Bell County, Texas"
1931,754,31.5,68.6,29573,31114,1400000US48027020702,"Census Tract 207.02, Bell County, Texas"
3001,1392,33.8,66.2,20724,32747,1400000US48027020800,"Census Tract 208, Bell County, Texas"
1899,930,47.5,52.5,25598,34515,1400000US48027020900,"Census Tract 209, Bell County, Texas"
4226,2281,41.4,58.6,38668,42066,1400000US48027021000,"Census Tract 210, Bell County, Texas"
5687,2480,53.5,46.5,42276,46285,1400000US48027021100,"Census Tract 211, Bell County, Texas"
2965,1640,68.4,31.6,38669,62194,1400000US48027021201,"Census Tract 212.01, Bell County, Texas"
4504,1793,53.4,46.6,45759,59093,1400000US48027021202,"Census Tract 212.02, Bell County, Texas"
4267,2044,72.1,27.9,55923,84047,1400000US48027021203,"Census Tract 212.03, Bell County, Texas"
5763,2326,73.9,26.1,72576,105993,1400000US48027021301,"Census Tract 213.01, Bell County, Texas"
2963,1566,74.7,25.4,68681,92167,1400000US48027021302,"Census Tract 213.02, Bell County, Texas"
5636,2511,67.3,32.6,49638,62342,1400000US48027021303,"Census Tract 213.03, Bell County, Texas"
3612,1435,59.5,40.5,55919,64953,1400000US48027021400,"Census Tract 214, Bell County, Texas"
5239,2010,46.6,53.4,37500,50401,1400000US48027021500,"Census Tract 215, Bell County, Texas"
5859,1933,47.9,52,42107,45331,1400000US48027021601,"Census Tract 216.01, Bell County, Texas"
2839,599,66,33.9,16885,34173,1400000US48027021602,"Census Tract 216.02, Bell County, Texas"
6578,2946,76.5,23.5,62889,85032,1400000US48027021700,"Census Tract 217, Bell County, Texas"
6550,2656,50.3,49.7,56042,71883,1400000US48027021800,"Census Tract 218, Bell County, Texas"
3315,1464,59.9,40.1,53611,67692,1400000US48027021901,"Census Tract 219.01, Bell County, Texas"
8498,2615,64.1,35.9,78601,84138,1400000US48027021903,"Census Tract 219.03, Bell County, Texas"
7943,3286,61.9,38.2,57313,71255,1400000US48027021904,"Census Tract 219.04, Bell County, Texas"
8306,3609,53.3,46.6,40755,58428,1400000US48027022000,"Census Tract 220, Bell County, Texas"
3930,2128,46,54,39311,46665,1400000US48027022101,"Census Tract 221.01, Bell County, Texas"
